,lam,stepsize,psnr,ssim,
0,0.1,0.1,29.8850218291247,85.7140793349159,
1,0.311111111111111,0.1,30.2400604669653,85.7708129156805,
2,0.522222222222222,0.1,30.4062622256073,85.7361529289971,
3,0.733333333333333,0.1,30.5081094052144,85.7246509644744,
4,0.944444444444444,0.1,30.5796207369261,85.7361503644478,
5,1.15555555555556,0.1,30.6337810113739,85.7461263724884,
6,1.36666666666667,0.1,30.6773216109797,85.7408381399639,
7,1.57777777777778,0.1,30.7120858530609,85.7331541660484,
8,1.78888888888889,0.1,30.7421608266189,85.71645555686,
9,2,0.1,30.7671371669986,85.68498644228,
10,0.1,0.325,30.6846672797516,86.0110381638416,
11,0.311111111111111,0.325,31.1960765385814,86.3452655209256,
12,0.522222222222222,0.325,31.4326271463863,86.6016431088115,
13,0.733333333333333,0.325,31.7061294850554,87.0342292345324,
14,0.944444444444444,0.325,31.7324966389187,86.2361968686218,
15,1.15555555555556,0.325,29.5940449994638,79.3796898893568,
16,1.36666666666667,0.325,25.7160030268209,69.0223240243942,
17,1.57777777777778,0.325,21.7541943056573,60.7705679940957,
18,1.78888888888889,0.325,9.46034384061885,5.60264659177888,
19,2,0.325,6.72402062840868,2.15167505501451,
20,0.1,0.55,31.1244454873118,86.4746424246596,
21,0.311111111111111,0.55,31.8127266540942,87.3169001952983,
22,0.522222222222222,0.55,32.10314165705,86.8259944142628,
23,0.733333333333333,0.55,28.7554287536506,77.2398842615412,
24,0.944444444444444,0.55,21.194345940056,60.152803247566,
25,1.15555555555556,0.55,9.92552331070023,16.3694587991906,
26,1.36666666666667,0.55,5.88040027625404,0.95632386935,
27,1.57777777777778,0.55,5.19805012943042,0.733905198912378,
28,1.78888888888889,0.55,4.77361255234882,0.658516953486788,
29,2,0.55,4.44482632369367,0.596868916202593,
30,0.1,0.775,31.4557603131348,86.8893453641872,
31,0.311111111111111,0.775,32.2768975415486,87.5834974883046,BEST
32,0.522222222222222,0.775,29.1245263350097,78.3801858502569,
33,0.733333333333333,0.775,11.2987524673908,24.7001480764306,
34,0.944444444444444,0.775,6.84819674017348,2.7573939422834,
35,1.15555555555556,0.775,5.95749903685891,0.886529873289745,
36,1.36666666666667,0.775,5.39540463548177,0.772617407398009,
37,1.57777777777778,0.775,5.15528359974001,0.637512573763553,
38,1.78888888888889,0.775,4.96008366159582,0.599355153296527,
39,2,0.775,4.74513557701754,0.464464708524172,
40,0.1,1,31.7256726573462,87.279173652929,
41,0.311111111111111,1,31.6878193303459,85.3095255261649,
42,0.522222222222222,1,13.3405317535975,28.4508907974573,
43,0.733333333333333,1,5.6720012649578,1.13663161330558,
44,0.944444444444444,1,5.1311077855087,0.830488913112263,
45,1.15555555555556,1,4.87131297399511,0.771080112166474,
46,1.36666666666667,1,4.74329741223187,0.576869672728824,
47,1.57777777777778,1,4.66450948877448,0.535646947387664,
48,1.78888888888889,1,4.68380049191241,0.462298790514372,
49,2,1,4.59339321829432,0.460454039176872,
