,lam,psnr,ssim
0,0.1,25.81748411184354,77.0528712105239
1,0.42222222222222217,26.70079529599734,80.35703031350425
2,0.7444444444444444,26.906384576130456,79.69950222763957
3,1.0666666666666667,27.010903737218488,79.45059022384376
4,1.3888888888888888,27.08038625773323,79.42226838134332
5,1.711111111111111,27.147587353743635,79.50287886929091
6,2.033333333333333,27.22111241365989,79.68478553595314
7,2.3555555555555556,27.285397471053887,79.87905386744221
8,2.6777777777777776,27.33893726901679,80.01066309542702
9,3.0,27.26266331470304,79.7622687303104
